,A070101_sj,A070102_sj,A070103_sj,A070104_sj,A070105_sj,A070106_sj,A070107_sj,A070108_sj
200703,6685.8,21187.8,15.3380371590733,14.9000553139337,0.0,0.0,0.0,0.0
200702,7013.7,14502.0,16.8579949682601,14.6992525803773,0.0,0.0,0.0,0.0
200701,7488.3,7488.3,12.7483288266178,12.7483288266178,0.0,0.0,0.0,0.0
200612,7499.2,76410.0,14.6,13.7,0.0,0.0,0.0,0.0
200611,6821.7,68910.8,14.1,13.6,0.0,0.0,0.0,0.0
200610,6997.7,62089.1,14.348977057324,13.5999956088912,0.0,0.0,0.0,0.0
200609,6553.6,55091.4,13.9,13.5,0.0,0.0,0.0,0.0
200608,6077.4,48537.8,13.8,13.4519326737209,0.0,0.0,0.0,0.0
200607,6012.2,42460.4,13.7,13.4155754320648,0.0,0.0,0.0,0.0
200606,6057.8,36448.2,13.9,13.3,0.0,0.0,0.0,0.0
200605,6175.6,30390.4,14.2,13.2,0.0,0.0,0.0,0.0
200604,5774.6,24214.8,13.5547558649441,12.9985580490263,0.0,0.0,0.0,0.0
200603,5796.7,18440.2,13.5,12.8,0.0,0.0,0.0,0.0
200602,6001.9,12643.5,9.4,12.5,0.0,0.0,0.0,0.0
200601,6641.6,6641.6,15.5,15.5,0.0,0.0,0.0,0.0
200512,6850.4,67176.6,12.5,12.9,0.0,0.0,0.0,0.0
200511,5909.0,56836.2,12.4,12.9,0.0,0.0,0.0,0.0
200510,5846.6,50927.2,12.8,13.0,0.0,0.0,0.0,0.0
200509,5495.2,45080.567,12.7,13.0,0.0,0.0,0.0,0.0
200508,5040.7875,39585.367,12.5,13.0196744058564,0.0,0.0,0.0,0.0
200507,4934.9,34544.6,12.7,13.1,0.0,0.0,0.0,0.0
200506,4935.0,29609.7,12.9,13.2,0.0,0.0,0.0,0.0
200505,4899.2,24674.7,12.8,13.2,0.0,0.0,0.0,0.0
200504,4663.3,19775.5,12.2,13.3,0.0,0.0,0.0,0.0
200503,4799.1,15112.2,13.9,13.7,0.0,0.0,0.0,0.0
200502,5012.2,10313.1,15.8,13.6,0.0,0.0,0.0,0.0
200501,5300.9,5300.9,11.5,11.5,0.0,0.0,0.0,0.0
200412,5562.5,53950.1,14.5,13.3,0.0,0.0,0.0,0.0
200411,4965.6,48387.6,13.9,13.2,0.0,0.0,0.0,0.0
200410,4983.2,43422.0,14.2,13.1,0.0,0.0,0.0,0.0
200409,4717.7,38438.8,14.0,13.0,0.0,0.0,0.0,0.0
200408,4262.7,33721.1,13.1,12.9,0.0,0.0,0.0,0.0
200407,4209.2,29458.4,13.2,12.8,0.0,0.0,0.0,0.0
200406,4250.7,25249.2,13.9,12.8,0.0,0.0,0.0,0.0
200405,4166.1,20998.5,17.8,12.5,0.0,0.0,0.0,0.0
200404,4001.8,16832.4,13.2,11.3,0.0,0.0,0.0,0.0
200403,4049.8,12830.6,11.1,10.7,0.0,0.0,0.0,0.0
200402,4211.4,8780.8,9.2,10.5,0.0,0.0,0.0,0.0
200401,4569.4,4569.4,11.8,11.8,0.0,0.0,0.0,0.0
200312,4735.7,45842.0,10.9,9.1,0.0,0.0,0.0,0.0
200311,4202.7,41106.3,9.7,8.9,0.0,0.0,0.0,0.0
200310,4204.4,36903.6,10.2,8.8,0.0,0.0,0.0,0.0
200309,3971.8,32699.2,9.5,8.6,0.0,0.0,0.0,0.0
200308,3609.6,28727.4,9.9,8.5,0.0,0.0,0.0,0.0
200307,3562.1,25117.8,9.8,8.3,0.0,0.0,0.0,0.0
200306,3576.9,21555.7,8.3,8.0,0.0,0.0,0.0,0.0
200305,3463.3,17978.8,4.3,8.0,0.0,0.0,0.0,0.0
200304,3406.9,14515.5,7.7,8.9,0.0,0.0,0.0,0.0
200303,3494.8,11108.6,9.3,9.2,0.0,0.0,0.0,0.0
200302,3706.4,7613.8,8.5,9.2,0.0,0.0,0.0,0.0
200301,3907.4,3907.4,10.0,10.0,0.0,0.0,0.0,0.0
200212,4404.4,40910.5,9.2,8.8,0.0,0.0,0.0,0.0
200211,3733.1,36506.1,9.1,8.8,0.0,0.0,0.0,0.0
200210,3661.9,32773.0,9.4,8.7,0.0,0.0,0.0,0.0
200209,3422.4,29111.1,9.1,8.7,0.0,0.0,0.0,0.0
200208,3143.7,25688.7,8.8,8.6,0.0,0.0,0.0,0.0
200207,3096.6,22545.0,8.6,8.6,0.0,0.0,0.0,0.0
200206,3158.8,19448.4,8.6,8.6,0.0,0.0,0.0,0.0
200205,3202.1,16289.6,9.3,8.6,0.0,0.0,0.0,0.0
200204,3052.2,13087.5,8.2,8.4,0.0,0.0,0.0,0.0
200203,3114.8,10035.3,8.3,8.4,0.0,0.0,0.0,0.0
200202,3324.4,6920.5,9.1,8.5,0.0,0.0,0.0,0.0
200201,3596.1,3596.1,7.9,7.9,0.0,0.0,0.0,0.0
200112,4033.3,37595.2,9.6,10.1,0.0,0.0,0.0,0.0
200111,3421.7,33561.9,10.1,10.1,0.0,0.0,0.0,0.0
200110,3347.3,30140.2,10.5,10.1,0.0,0.0,0.0,0.0
200109,3136.9,26792.9,9.9,10.1,0.0,0.0,0.0,0.0
200108,2889.4,23656.0,9.6,10.1,0.0,0.0,0.0,0.0
200107,2851.4,20766.6,9.8,10.2,0.0,0.0,0.0,0.0
200106,2908.7,17915.2,10.0,10.3,0.0,0.0,0.0,0.0
200105,2929.6,15006.5,11.1,10.3,0.0,0.0,0.0,0.0
200104,2820.9,12076.9,9.7,10.1,0.0,0.0,0.0,0.0
200103,2876.1,9256.0,9.5,10.3,0.0,0.0,0.0,0.0
200102,3047.1,6379.9,8.6,10.6,0.0,0.0,0.0,0.0
200101,3332.8,3332.8,12.5,12.5,0.0,0.0,0.0,0.0
200012,3680.0,34152.6,8.8,9.7,0.0,0.0,0.0,0.0
200011,3107.8,30472.6,8.7,9.8,0.0,0.0,0.0,0.0
200010,3029.3,27364.8,10.4,9.9,0.0,0.0,0.0,0.0
200009,2854.3,24335.5,9.59999999999999,9.90000000000001,0.0,0.0,0.0,0.0
200008,2636.3,21481.2,9.3,9.90000000000001,0.0,0.0,0.0,0.0
200007,2596.9,18844.9,9.09999999999999,10.0,0.0,0.0,0.0,0.0
200006,2645.2,16248.0,8.90000000000001,10.1,0.0,0.0,0.0,0.0
200005,2636.9,13602.8,11.5,10.4,0.0,0.0,0.0,0.0
200004,2571.5,10965.9,9.09999999999999,10.1,0.0,0.0,0.0,0.0
200003,2626.6,8394.4,9.3,10.4,0.0,0.0,0.0,0.0
200002,2804.9,5767.8,10.5,10.9,0.0,0.0,0.0,0.0
200001,2962.9,2962.9,11.3,11.3,0.0,0.0,0.0,0.0
199912,3383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199911,2859.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199910,2743.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199909,2604.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199908,2410.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199907,2380.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199906,2428.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199905,2364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199904,2356.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199903,2403.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199902,2538.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199901,2662.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199812,3131.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199811,2652.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199810,2536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199809,2443.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199808,2274.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199807,2254.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199806,2304.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199805,2245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199804,2229.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199803,2271.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199802,2296.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199801,2514.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199712,2899.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199711,2469.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199710,2361.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199709,2253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199708,2116.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199707,2115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199706,2177.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199705,2120.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199704,2113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199703,2143.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199702,2226.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199701,2302.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199612,2871.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199611,2308.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199610,2165.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199609,2100.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199608,1931.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199607,1904.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199606,1981.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199605,1913.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199604,1869.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199603,1875.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199602,1926.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199601,1924.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199512,2371.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199511,1938.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199510,1814.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199509,1773.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199508,1649.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199507,1629.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199506,1649.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199505,1587.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199504,1546.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199503,1546.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199502,1505.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199501,1608.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199412,1957.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199411,1574.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199410,1463.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199409,1414.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199408,1303.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199407,1268.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199406,1298.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199405,1229.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199404,1185.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199403,1183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199402,1178.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199401,1208.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199312,1437.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199311,1119.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199310,1067.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199309,1039.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199308,974.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199307,978.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199306,1020.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199305,976.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199304,964.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199303,966.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199302,915.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199301,1002.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199212,1045.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199211,883.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199210,850.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199209,829.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199208,753.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199207,740.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199206,757.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199205,730.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199204,719.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199203,773.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199202,813.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199201,806.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199112,833.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199111,737.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199110,707.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199109,695.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199108,635.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199107,625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199106,646.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199105,639.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199104,653.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199103,647.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199102,709.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199101,714.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199012,739.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199011,644.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199010,618.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199009,612.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199008,562.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199007,554.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199006,573.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199005,573.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199004,562.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199003,576.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199002,576.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199001,657.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198912,665.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198911,579.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198910,571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198909,585.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198908,545.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198907,545.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198906,566.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198905,574.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198904,580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198903,608.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198902,615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198901,638.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198812,663.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198811,585.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198810,581.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198809,600.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198808,558.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198807,514.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198806,521.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198805,489.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198804,481.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198803,487.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198802,522.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198801,528.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198712,561.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198711,471.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198710,451.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198709,439.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198708,396.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198707,390.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198706,400.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198705,389.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198704,383.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198703,391.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198702,394.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198701,445.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198612,481.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198611,405.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198610,382.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198609,378.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198608,333.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198607,326.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198606,340.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198605,332.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198604,329.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198603,335.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198602,346.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198601,381.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198512,411.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198511,341.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198510,319.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198509,317.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198508,284.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198507,282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198506,295.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198505,291.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198504,290.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198503,308.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198502,320.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198501,338.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198412,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198411,265.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198410,240.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198409,232.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198408,205.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198407,199.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198406,207.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198405,204.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198404,198.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198403,199.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198402,201.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198401,245.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
